Prompt,Label
Determine when financial aid package notices arrive from SFSU.,Other
Explain how to update my major after submitting a CSU application.,Other
Compare BIO 10 at my CCC with BIOL 100 at UC Davis for transfer credit.,Course equivalency
Sequence Linguistics courses after LING 110 toward a major at SFSU.,Academic planning
Construct a Spanish minor pathway starting at CCC for completion at SFSU.,Academic planning
Summarize the official transcript submission process for UC Santa Cruz.,Other
Verify that FREN 1 (Elementary French) matches FREN 101 at CSU Fresno.,Course equivalency
Demonstrate how to verify CSU GE Breadth alignment for my courses.,Other
Calculate total GE units required before applying to UC Irvine.,Academic planning
Outline the leave-of-absence procedure after transferring to a CSU.,Other
Assess if PHYS 4A (General Physics) matches the requirements for PHYS 110 at SFSU.,Course equivalency
Verify that MATH 4 (Discrete Mathematics) transfers as CPSC 212 at UCSC.,Course equivalency
Outline the petition process for a course substitution at SFSU.,Other
Access and navigate the CSU Mentor portal to track transfer application status.,Other
Assess GEOG 1 (Physical Geography) for transfer credit to GEOG 151 at SFSU.,Course equivalency
Summarize support services provided by SFSU’s Transfer Center.,Other
Plan the sequence from STAT 7 to upper-division statistics at SFSU.,Academic planning
Outline optimal CCC coursework to satisfy SFSU’s Business major prerequisites.,Academic planning
Explain steps required to complete an Associate Degree for Transfer (ADT).,Other
Lay out upper-division Economics courses after completing ECON 1 and 2 for SFSU.,Academic planning
Describe resources available through the SFSU Transfer Center.,Other
Prioritize CCC courses for a Business Administration track to SFSU.,Academic planning
Identify where to find campus clubs and organizations information at SFSU.,Other
Devise a two-year Sociology major plan at SFSU for a transfer student.,Academic planning
Explain how to enroll in priority registration as a transfer student at SFSU.,Other
Organize Art & Design coursework to fulfill BFA portfolio prerequisites at SFSU.,Academic planning
Evaluate if POLS 1 (American Government) equates to POLS 155 at SFSU.,Course equivalency
Map HIST 17A (U.S. History to 1877) to HIST 150H at CSU Sacramento.,Course equivalency
Outline the application process for the Educational Opportunity Program (EOP) for transfer students.,Other
Analyze whether COMM 1 (Public Speaking) is equivalent to COMM 101 at SFSU.,Course equivalency
Determine if MUS 101 (Music Appreciation) transfers as MUS 100 at SFSU.,Course equivalency
Formulate a chemistry course plan targeting a Biochemistry major at SFSU.,Academic planning
Summarize letters-of-recommendation requirements for UC transfer admission.,Other
Review ANTH 2 (Cultural Anthropology) in comparison to ANTH 101 at CSU Northridge.,Course equivalency
Determine how many transferable electives remain after major prerequisites for SFSU.,Academic planning
Develop Computer Networks preparation for SFSU’s CNET major.,Academic planning
List the tech fees per semester for transfer students at SFSU.,Other
Validate whether LING 110 (Intro to Linguistics) counts as LING 101 at SFSU.,Course equivalency
Validate CHEM 1B (General Chemistry) for transfer to CHEM 106 at SFSU.,Course equivalency
Schedule CSU GE Area D classes before transferring to CSU East Bay.,Academic planning
Confirm that STAT 7 (Introductory Statistics) transfers as STAT 114 at UC Santa Cruz.,Course equivalency
Locate the transfer-credit evaluation report within my CSU application portal.,Other
Assess if transfer credits count toward the Honors Program at SFSU.,Other
Arrange summer CCC courses to align with a Spring transfer timeline to SFSU.,Academic planning
Outline steps to apply for on-campus housing as a transfer student at SFSU.,Other
Determine if ECON 1 (Microeconomics) transfers as ECON 2001 at UC San Diego.,Course equivalency
Match PSYC 1 from CCC to PSYC 100 (Introductory Psychology) at SFSU.,Course equivalency
Compare CNET 150 at my CCC with CNET 114 at SFSU for credit transfer.,Course equivalency
Chart all IGETC requirements that must be completed before transferring to UC Berkeley.,Academic planning
